Code,English,Santali Ol Chiki
Geok,Georgian Khutsuri,ᱡᱤᱭᱚᱨᱡᱤᱭᱟᱹᱱ ᱠᱷᱩᱴᱥᱩᱨᱤ
Hrkt,Japanese syllabaries,ᱡᱟᱯᱟᱱᱤᱡᱽ ᱥᱭᱞᱟᱵᱟᱨᱤᱥ
Inds,Indus,ᱤᱱᱰᱚᱥ
Jurc,Jurchen,ᱡᱩᱨᱪᱷᱮᱱ
Kpel,Kpelle,ᱯᱮᱞᱮ
Latf,Fraktur Latin,ᱯᱷᱨᱟᱠᱛᱩᱨ ᱞᱮᱴᱤᱱ
Latg,Gaelic Latin,ᱜᱮᱞᱤᱠ ᱞᱮᱴᱤᱱ
Loma,Loma,ᱞᱚᱢᱟ
Maya,Mayan hieroglyphs,ᱢᱟᱭᱟᱱ ᱦᱟᱭᱨᱚᱜᱞᱤᱢᱯᱥ
Moon,Moon,ᱢᱩᱱ
Nkgb,Naxi Geba,ᱱᱟᱠᱥᱤ ᱜᱮᱵᱟ
Phlv,Book Pahlavi,ᱵᱩᱠ ᱯᱟᱦᱞᱟᱹᱣᱤ
Qaag,Zawgyi,ᱡᱟᱣᱜᱟᱭ
Roro,Rongorongo,ᱨᱚᱝᱜᱚᱨᱚᱝᱜᱚ
Sara,Sarati,ᱥᱟᱨᱚᱛᱤ
Syre,Estrangelo Syriac,ᱮᱥᱴᱨᱟᱝᱜᱮᱞᱚ ᱥᱭᱨᱤᱞᱤᱠ
Syrj,Western Syriac,ᱯᱟᱪᱮ ᱥᱭᱨᱤᱭᱟᱠ
Syrn,Eastern Syriac,ᱥᱟᱢᱟᱝ ᱥᱭᱨᱤᱭᱟᱠ
Teng,Tengwar,ᱴᱮᱝᱣᱟᱨ
Visp,Visible Speech,ᱧᱮᱞ ᱨᱚᱲ
Wole,Woleai,ᱣᱚᱞᱮᱭ
Zmth,Mathematical Notation,ᱢᱮᱛᱷᱢᱮᱴᱤᱠᱟᱞ ᱱᱚᱴᱮᱥᱚᱱ
Zsye,Emoji,ᱤᱢᱚᱡᱤ
Zsym,Symbols,ᱪᱤᱱᱦᱟᱹ
Zxxx,Unwritten,ᱵᱟᱝ ᱚᱞ
Zzzz,Unknown Script,ᱵᱟᱝ ᱵᱟᱲᱟᱭ ᱪᱤᱠᱤ
,,
