Category	Santali	English	Odia	ᱨᱚᱱᱚᱲ	ᱢᱮᱱᱮᱛ																				
Time	ᱥᱮᱯᱴᱮᱢᱵᱚᱨ	september		Noun																					
Time	ᱚᱠᱴᱚᱵᱚᱨ	october		Noun																					
Time	ᱱᱚᱵᱷᱮᱢᱵᱚᱨ	november		Noun																					
Time	ᱰᱤᱥᱮᱢᱵᱚᱨ	december		Noun																					
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
Time	#	%																							
																									
																									
																									
Number (Numeric till 100, Words till 100 )	ᱢᱤᱫ	one		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ	ten		Number																					
Number (Numeric till 100, Words till 100 )	ᱥᱟᱭ	hundred		Number																					
Number (Numeric till 100, Words till 100 )	ᱥᱮᱞᱥᱟᱭ	thousand		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞᱥᱟᱥᱟᱭ	ten thousand		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱲᱚᱭ	lac		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞᱢᱚᱲᱚᱭ	ten lac		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱚᱲᱚᱭ	carore		Number																					
Number (Numeric till 100, Words till 100 )	᱐	0		Number																					
Number (Numeric till 100, Words till 100 )	᱑	1		Number																					
Number (Numeric till 100, Words till 100 )	᱒	2		Number																					
Number (Numeric till 100, Words till 100 )	᱓	3		Number																					
Number (Numeric till 100, Words till 100 )	᱔	4		Number																					
Number (Numeric till 100, Words till 100 )	᱕	5		Number																					
Number (Numeric till 100, Words till 100 )	᱖	6		Number																					
Number (Numeric till 100, Words till 100 )	᱗	7		Number																					
Number (Numeric till 100, Words till 100 )	᱘	8		Number																					
Number (Numeric till 100, Words till 100 )	᱙	9		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱐	10		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱑	11		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱒	12		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱓	13		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱔	14		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱕	15		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱖	16		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱗	17		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱘	18		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱙	19		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱐	20		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱑	21		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱒	22		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱓	23		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱔	24		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱕	25		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱖	26		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱗	27		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱘	28		Number																					
Number (Numeric till 100, Words till 100 )	᱒᱙	29		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱐	30		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱑	31		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱒	32		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱓	33		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱔	34		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱕	35		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱖	36		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱗	37		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱘	38		Number																					
Number (Numeric till 100, Words till 100 )	᱓᱙	39		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱐	40		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱑	41		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱒	42		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱓	43		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱔	44		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱕	45		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱖	46		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱗	47		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱘	48		Number																					
Number (Numeric till 100, Words till 100 )	᱔᱙	49		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱐	50		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱑	51		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱒	52		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱓	53		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱔	54		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱕	55		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱖	56		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱗	57		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱘	58		Number																					
Number (Numeric till 100, Words till 100 )	᱕᱙	59		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱐	60		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱑	61		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱒	62		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱓	63		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱔	64		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱕	65		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱖	66		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱗	67		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱘	68		Number																					
Number (Numeric till 100, Words till 100 )	᱖᱙	69		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱐	70		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱑	71		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱒	72		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱓	73		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱔	74		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱕	75		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱖	76		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱗	77		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱘	78		Number																					
Number (Numeric till 100, Words till 100 )	᱗᱙	79		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱐	80		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱑	81		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱒	82		Number																					
