Sl. No.,S.N,Santali Latin,SANTALI
128,Commelyna suffroticosa,sare oṛsa,ᱥᱟᱨᱮ ᱚᱲᱥᱟᱹ
129,Commelyna benghalensis,kana aṛak̕,ᱠᱟᱱᱟ ᱟᱲᱟᱜ
130,Corchorus,bir narcha,ᱵᱤᱨ ᱱᱟᱨᱪᱷᱟ
131,Corchorus capsularis,kasko̱m ran,ᱠᱟᱥᱠᱚᱢ ᱨᱟᱱ
132,Cordia macleodii,jugiạ,ᱡᱩᱜᱤᱭᱟᱹ
133,Cordia myxa,buc dare,ᱵᱩᱪ ᱫᱟᱨᱮ
134,Coriandrum sativum,dhạniạ,ᱫᱷᱟᱹᱱᱤᱭᱟᱹ
135,Costus speciosa,orop̕,ᱚᱨᱚᱯ
136,Crinum,sikiom baha,ᱥᱤᱠᱤᱭᱚᱢ ᱵᱟᱦᱟ
137,Crosphora pilcata,parwa jhaṛa,ᱯᱟᱨᱣᱟ ᱡᱷᱟᱨᱲᱟ
138,Crotalaria calcyna,"bir jhunka, moṭa bir jhunka","ᱵᱤᱨ ᱡᱷᱩᱱᱠᱟᱹ, ᱢᱚᱴᱟ ᱵᱤᱨ ᱡᱷᱩᱱᱠᱟ"
139,Crotalaria juncea,"so̱n jạ̃ṛĩ, so̱n kudrum, sạ̃ci so̱n, san, so̱n","ᱠᱳᱱ ᱡᱟᱹᱲᱤ, ᱥᱳᱱ ᱠᱩᱫᱨᱩᱢ, ᱥᱟᱺᱪᱤ ᱥᱳᱱ, ᱥᱟᱱ, ᱥᱳᱱ"
140,Crotalaria prostrata,"kạṭic̕ jhunkạ, nanha jhunkạ","ᱠᱟᱹᱴᱤᱡ ᱡᱷᱩᱱᱠᱟᱹ, ᱱᱟᱱᱦᱟ ᱡᱷᱩᱱᱠᱟᱹ"
141,Crotalaria alata,maraṅ jhunkạ,ᱢᱟᱨᱟᱝ ᱡᱷᱩᱱᱠᱟᱹ
142,Crotalaria striata,so̱n jhunkạ,ᱥᱳᱱ ᱡᱷᱩᱱᱠᱟᱹ
143,Croton oblongifolius,gote,ᱜᱚᱴᱮ
144,Cryptolepsis buchanani,utri dudhi,ᱩᱴᱨᱤ ᱫᱩᱫᱷᱤ
145,Cucumis melo,"phuṭ, tạrbhuj, tạrmuj","ᱯᱷᱩᱴ, ᱛᱟᱹᱨᱵᱩᱡ, ᱛᱟᱹᱨᱢᱩᱡ"
146,Cucumis sativus,tahe̱r,ᱛᱟᱦᱮᱨ
147,Cugumis lagenaria,ho̱to̱t̕,ᱦᱚᱛᱚᱛ
148,Cugumis moscheta,kohṇḍa,ᱠᱚᱦᱚᱱᱰᱟ
149,Curcuma,orsoṛiń,ᱚᱨᱥᱚᱲᱤᱝ
150,Cucuma longa,"gãṭ, sasań",ᱜᱟᱸᱴ ᱥᱟᱥᱟᱝ
151,Cuscuta chinensis,alag jạṛi,ᱟᱞᱟᱝ ᱡᱟᱹᱲᱤ
152,Cyamopsis tetragonoloba,nanha malhan,ᱱᱟᱱᱦᱟ ᱢᱟᱞᱦᱟᱱ
153,Cyamopsis psoralioides,"buru raheṛ, raheṛ","ᱵᱩᱨᱩ ᱨᱟᱦᱮᱲ, ᱨᱟᱦᱮᱲ"
154,Cyanotis axillaris,moṭa gundliaṛak̕,ᱢᱚᱴᱟ ᱜᱩᱱᱰᱞᱤᱟᱲᱟᱜ
155,Cyathocline lyrata,bereń phul,ᱵᱮᱨᱮᱧ ᱯᱷᱩᱞ
156,Cynodon dactylon,"dhubi ghãs, dhubi tasak̕, dub ghãs, tasak̕","ᱫᱷᱩᱵᱤ ᱜᱷᱟᱸᱥ, ᱫᱷᱩᱵᱤ ᱛᱟᱥᱟᱠ, ᱫᱩᱵ ᱜᱷᱟᱸᱥ, ᱛᱟᱥᱟᱠ"
157,Cyperus tegetum,suṛạ,ᱥᱩᱨᱟᱹ
158,Cyperus rotundus,ṭạṇḍi suṛạ,ᱴᱟᱹᱱᱰᱤ ᱥᱩᱲᱟᱹ
159,Dalbergia latifolia,satsayar,ᱥᱟᱛᱥᱟᱭᱟᱨ
160,Dalbergia lanceolaria,capot̕ siris,ᱪᱟᱯᱚᱛ ᱥᱤᱨᱤᱥ
161,Dalbergia volubibilis,nạṛi siris,ᱱᱟᱹᱲᱤ ᱥᱤᱨᱤᱥ
162,Desmodium polycarpum,baepho̱l,ᱵᱟᱮᱯᱷᱳᱞ
