ᱩᱱᱠᱩᱣᱟᱜ,Their,
ᱱᱩᱠᱩᱣᱟᱜ,Of thee,
ᱤᱧ ᱜᱮ,Myself,
ᱟᱢ ᱜᱮ,Yourself,
ᱩᱱᱤ ᱜᱮ (ᱠᱚ.),Himself,
ᱩᱱᱤ ᱜᱮ (ᱠᱩ.),Herself,
ᱟᱵᱚ ᱜᱮ,Ourselves,
ᱟᱯᱮ ᱜᱮ,Yourselves,
ᱩᱱᱠᱩ ᱜᱮ,Themselves,
ᱱᱚᱶᱟ ᱠᱚ,These,
ᱚᱱᱟ ᱠᱚ/ᱦᱟᱱᱮ ᱠᱚ,Those,
ᱚᱠᱚᱭ ?,Who,
ᱪᱮᱫ ?,What,
ᱪᱮᱫᱟᱜ ?,Why,
ᱚᱠᱟᱨᱮ ?,Where,
ᱛᱤᱱ ᱨᱮ ?,When?,
ᱚᱠᱟ ?,Which?,
ᱚᱠᱚᱭᱟᱜ ?,Whose?,
ᱚᱠᱚᱭ ?,Whom?,
ᱪᱮᱫ ᱞᱮᱠᱟ ?,How?,
ᱛᱤᱱᱟᱹᱜ ᱜᱚᱴᱟᱝ ?,How many?,
ᱛᱤᱱᱟᱹᱜ ᱰᱷᱮᱨ ?,How much?,
ᱱᱚᱰᱮ,Here,
ᱱᱩᱠᱩᱣᱟᱜ,Of these,
ᱡᱟᱦᱟᱸᱭ,Any one,
ᱱᱤᱛᱚᱜ,Now,
ᱦᱟᱸᱰᱮ,There,
ᱤᱧᱜᱮ,Me,
ᱤᱧ ᱦᱚᱛᱮᱛᱮ,By me,
ᱤᱧ ᱞᱟᱹᱜᱤᱫ,For me,
ᱤᱧ ᱴᱷᱮᱱ ᱠᱷᱚᱱ,From me,
ᱤᱧᱟᱜ,Mine,
ᱤᱧ ᱴᱷᱮᱱ,With me,
ᱟᱞᱟᱝ,We,
ᱟᱞᱤᱧ ᱜᱮ,To us,
ᱟᱞᱟᱝ ᱦᱚᱛᱮᱛᱮ,By us,
ᱟᱞᱟᱝ ᱞᱟᱹᱜᱤᱫᱦ,For us,
ᱟᱞᱟᱝ ᱴᱷᱮᱱ ᱠᱷᱚᱱ,From us,
ᱟᱞᱟᱝ ᱵᱟᱨ ᱦᱚᱲᱟᱜ,Of us,
ᱟᱞᱟᱝ ᱵᱟᱨ ᱴᱷᱮᱱ,With us,
