ᱠᱟ.ᱠᱤ,mother's sister,
ᱠᱟ.ᱦᱩ,crow,
ᱠᱟ.ᱴᱩᱵ,finger,
ᱠᱟᱞᱟᱞᱤᱥᱩᱴ,Kalaallisut,
ᱠᱟᱞᱢᱤᱠ,Kalmyk,
ᱠᱟᱞᱮᱱᱡᱤᱱ,Kalenjin,
ᱠᱟᱠᱚ,Kako,
ᱠᱟᱠᱟ,uncle,
ᱠᱟᱡᱟᱠᱷ,Kazakh,
ᱠᱟᱡᱩᱱ ᱯᱷᱨᱮᱧᱪ,Cajun French,
ᱠᱟᱢᱵᱟ,Kamba,
ᱠᱟᱣᱠᱟᱥᱤᱭᱟᱹᱱ ᱟᱞᱵᱟᱱᱤᱭᱟᱹᱱ,Caucasian Albanian,
ᱠᱟᱣᱤ,Kawi,
ᱠᱟᱨᱞᱟ,bitter gourd,
ᱠᱟᱨᱟᱪᱷᱮᱼᱵᱟᱞᱠᱟᱨ,Karachay-Balkar,
ᱠᱟᱨᱟᱼᱠᱟᱞᱯᱟᱠ,Kara-Kalpak,
ᱠᱟᱨᱤᱭᱟᱹᱱ,Carian,
ᱠᱟᱨᱤᱵ,Carib,
ᱠᱟᱨᱮᱞᱤᱭᱟᱹᱱ,Karelian,
ᱠᱟᱪᱤᱱ,Kachin,
ᱠᱟᱭᱛᱷᱤ,Kaithi,
ᱠᱟᱭᱟᱦ ᱞᱤ,Kayah Li,
ᱠᱟᱭᱨᱟ,banana,
ᱠᱟᱭᱩᱜᱟ,Cayuga,
ᱠᱟᱭᱮᱱᱜᱮᱝ,Kaingang,
ᱠᱟᱯᱤᱡᱽᱱᱚᱱ,Capiznon,
ᱠᱟᱰᱚ,Caddo,
ᱠᱟᱱᱟᱰᱟ,Kannada,
ᱠᱟᱱᱟᱰᱤᱭᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ,Canadian English,
ᱠᱟᱱᱟᱰᱤᱭᱟᱱ ᱯᱷᱨᱮᱧᱪ,Canadian French,
ᱠᱟᱱᱣᱟ,Verb,
ᱠᱟᱱᱩᱨᱤ,Kanuri,
ᱠᱟᱱᱮᱢᱵᱩ,Kanembu,
ᱠᱟᱱᱴᱚᱱᱤᱡᱽ,Cantonese,
ᱠᱟᱲᱟ,buffalo,
ᱠᱟᱴ ᱵᱟᱵᱟ,step father,
ᱠᱟᱴᱞᱟᱱ,Catalan,
ᱠᱟᱴᱟ,leg,
ᱠᱟᱴᱟᱠᱟᱱᱟ,Katakana,
ᱠᱟᱴᱟᱣᱟ ᱛᱟ.ᱨᱩᱵ,lion,
ᱠᱟᱵᱟᱨᱰᱤᱭᱟᱹᱱ,Kabardian,
ᱠᱟᱵᱩᱣᱟᱹᱨᱰᱤᱭᱟᱹᱱᱩ,Kabuverdianu,
ᱠᱟᱵᱮᱞ,Kabyle,
ᱠᱟᱹᱣᱰᱤ ᱮᱝᱜᱟ,sea shell,
ᱠᱟᱹᱥᱢᱤᱨᱤ,Kashmiri,
ᱠᱟᱹᱱᱟᱹᱰᱚ,Kannada,
ᱠᱣᱟᱥᱤᱭᱚ,Kwasio,
ᱠᱣᱮᱪᱷᱩᱣᱟ,Quechua,
ᱠᱤᱠᱩᱭᱩ,Kikuyu,
ᱠᱤᱢᱵᱩᱱᱰᱩ,Kimbundu,
ᱠᱤᱥᱱᱤ,myna,
ᱠᱤᱨᱜᱤᱡᱽ,Kyrgyz,
ᱠᱤᱨᱜᱷᱤᱡᱽ,Kirghiz,
ᱠᱤᱨᱢᱟᱱᱡᱽᱠᱤ,Kirmanjki,
ᱠᱤᱪᱮ,Kʼicheʼ,
ᱠᱤᱱ,is,
ᱠᱤᱱᱟᱨᱮᱼᱭᱟ,Kinaray-a,
ᱠᱤᱱᱭᱟᱨᱣᱟᱱᱰᱟ,Kinyarwanda,
ᱠᱨᱚᱮᱥᱤᱭᱟᱹᱱ,Croatian,
ᱠᱨᱤ,Cree,
ᱠᱨᱤᱢᱤᱭᱟᱹᱱ ᱛᱩᱨᱠᱤᱥ,Crimean Turkish,
ᱠᱨᱤᱭᱚ,Krio,
ᱠᱩᱞᱟ.ᱭ,rabbit,
ᱠᱩᱢᱤᱠ,Kumyk,
ᱠᱩᱣᱟᱱᱭᱟᱢᱟ,Kuanyama,
ᱠᱩᱥᱩᱵᱤᱭᱟᱹᱱ,Kashubian,
"ᱠᱩᱨᱜᱤᱥ, ᱥᱚᱨᱟᱢᱤ","Kurdish, Sorani",
ᱠᱩᱨᱥᱮᱱᱴᱨᱟᱞ,"Kurdish, Central",
ᱠᱩᱨᱩᱠᱷ,Kurukh,
ᱠᱩᱨᱫᱤᱥ,Kurdish,
ᱠᱩᱲᱤᱫ,eagle,
ᱠᱩᱴᱮᱱᱟᱭ,Kutenai,
ᱠᱮᱱᱭᱟᱱ,Kenyang,
ᱠᱷᱚᱡᱽᱠᱤ,Khojki,
ᱠᱷᱚᱣᱟᱨ,Khowar,
ᱠᱷᱚᱴᱟᱱᱤᱡᱽ,Khotanese,
ᱠᱷᱟ.ᱡᱩᱨ,date,
ᱠᱷᱟᱛᱟ,copy/note,
ᱠᱷᱟᱥᱤ,Khasi,
ᱠᱷᱟᱨᱚᱥᱛᱤ,Kharoshthi,
ᱠᱷᱟᱯᱨᱤ,skull,
ᱠᱷᱢᱮᱨ,Khmer,
ᱠᱷᱤᱛᱟᱱ ᱢᱟᱨᱮ ᱪᱤᱠᱤ,Khitan small script,
ᱠᱷᱩᱰᱟᱣᱟᱰᱤ,Khudawadi,
ᱡᱚᱝᱠᱷᱟ,Dzongkha,
ᱡᱚᱞᱟᱼᱯᱷᱚᱱᱭᱤ,Jola-Fonyi,
ᱡᱚᱡᱚ ᱡᱚ,tamarind,
ᱡᱚᱢ,to eat,
ᱡᱚᱢ,eat,
ᱡᱚᱨᱚᱣᱟᱥᱴᱨᱤᱭᱟᱱ ᱰᱟᱨᱤ,Zoroastrian Dari,
ᱡᱚᱱᱚᱲᱟ,maiz,
ᱡᱟ.ᱨᱩᱵ,friday,
ᱡᱟᱝ,bone,
ᱡᱟᱝᱜᱟ,foot,
ᱡᱟᱝᱜᱟ ᱛᱷᱚᱯᱮ,feet,
ᱡᱟᱡᱟ,Zaza,
ᱡᱟᱢᱚ,Jamo,
ᱡᱟᱢᱟᱭᱠᱟᱱ ᱠᱨᱮᱚᱞᱮ ᱤᱝᱞᱤᱥ,Jamaican Creole English,
ᱡᱟᱣᱜᱟᱭ,Zawgyi,
ᱡᱟᱣᱟᱱᱤᱡᱽ,Javanese,
ᱡᱟᱨᱢᱟ,Zarma,
ᱡᱟᱨᱢᱟᱱ,German,
ᱡᱟᱯᱚᱴᱮᱠ,Zapotec,
ᱡᱟᱯᱟᱱᱤᱡᱽ,Japanese,
